trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.99, 'e': 129.82052567368046}",20,8,-18.254251749109134,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.99, 'e': 128.52232041694367}",20,0,-107.83780172776831,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.99, 'e': 127.23709721277423}",20,0,-102.99705320220514,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
46,False,"{'a': 0.99, 'e': 125.96472624064648}",25,0,-62.786528108795096,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.99, 'e': 124.70507897824002}",20,0,-151.49267345402717,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
48,False,"{'a': 0.99, 'e': 123.45802818845762}",20,8,-64.28584636162182,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
49,False,"{'a': 0.99, 'e': 122.22344790657304}",25,12,-110.01692979574624,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 2}",1
50,False,"{'a': 0.99, 'e': 121.00121342750731}",25,0,-99.9952421524266,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.99, 'e': 119.79120129323223}",30,0,-102.89543640322212,"{0: 15, 1: 6, 2: 9, 3: 0, 4: 0}",0
52,False,"{'a': 0.99, 'e': 118.59328928029991}",20,0,-128.39664540603277,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
53,False,"{'a': 0.99, 'e': 117.40735638749692}",20,0,-147.0020704082028,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
54,False,"{'a': 0.99, 'e': 116.23328282362195}",20,0,-62.52385937009957,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
55,False,"{'a': 0.99, 'e': 115.07094999538573}",20,0,-157.27586935113885,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
